Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2009;2009/06;03.422.053/0001-99;BUENOS AIRES ELETRICA LTDA ME;RODOVIA RAPOSO TAVARES, KM. 14;05577-300;BUTANTã;São Paulo;São Paulo
2009;2009/05;03.422.053/0001-99;BUENOS AIRES ELETRICA LTDA ME;RUA SEM NOME, 13;04860-120;JARDIM GUANABARA;São Paulo;São Paulo
2011;2011/01;03.736.503/0001-18;BUFALINA IND. E COM. DE LATICINIOS LTDA EPP;R. MARIA DA CONCEIÇÃO DUARTE BRUM, 2200_- POLO II;12522-390;CHACARAS VITÓRIA;Guaratinguetá;São Paulo
2011;2011/03;03.736.503/0001-18;BUFALINA IND. E COM. DE LATICÍNIOS LTDA EPP;RUA MARIA DA CONCEIÇÃO DUARTE BRUM, 2200 POLO II;12522-390;CHÁCARS VITÓRIA;Guaratinguetá;São Paulo
2009;2009/10;38.845.525/0001-09;BUFALLO & BUFALO LTDA;RUA ROSA DEL NERO RELA,300;13255-330;VILA SANTA LUZIA;Itatiba;São Paulo
2008;2008/08;04.532.015/0001-51;BUFALLUS FRANCA COM. DE COUROS LTDA;RUA ALFREDO LOPES PINTO,1441;14401-186;JD B ESPERANCA;Franca;São Paulo
2008;2008/12;08.287.166/0001-42;BUFALO CHOPERIA E GRELHADOS LTDA ME;ESTR PRES.JUSCELINO K. DE OLIVEIRA,429;07252-000;JD ALBERTINA;Guarulhos;São Paulo
2008;2008/11;08.287.166/0001-42;BUFALO CHOPERIA E GRELHADOS LTDA ME;ESTR PRES.JUSCELINO K. DE OLIVEIRA,429;07252-000;JD ALBERTINA;Guarulhos;São Paulo
2009;2009/10;08.422.439/0001-14;BUFE BIG FOLIA;RUA CHICO PONTES, 938;02210-000;VILA GUILHERME;São Paulo;São Paulo
2009;2009/01;05.456.910/0001-05;BUFERA CALDEIRARIA LTDA ME;RUA NOSSA SRA DE FATIMA, 565;13400-000;Sem Informação;Piracicaba;São Paulo
2010;2010/05;05.456.910/0001-05;BUFERA CALDERARIA LTDA ME;ALAMEDA MADEIRA, 53;13400-000;Sem Informação;Piracicaba;São Paulo
2010;2010/02;03.489.814/0001-20;BUFET HAPPY MANIA LTDA. - ME;RUA CAMPO LARGO, 271;03186-010;ALTO DA MOóCA;São Paulo;São Paulo
2009;2009/09;11.112.377/0001-59;BUFFALO & GUIMARÃES LTDA - ME;ROD. CONEGO DOMENICO RANGONI KM 263;11573-000;PQ. INDUSTRIAL;Cubatão;São Paulo
2009;2009/08;05.128.479/0001-60;BUFFALO TECIDOS LTDA - EPP;R JULIO CONCEICAO 102;01126-000;BOM RETIRO;São Paulo;São Paulo
2009;2009/11;00.143.249/0001-56;BUFFET ARAUJO LTDA;R TABATINGUERA 294 TERREO SALAO SOCIAL;01020-000;CENTRO;São Paulo;São Paulo
2008;2008/09;00.143.249/0001-56;BUFFET ARAUJO LTDA;RUA TABATINGUERA,294;01020-000;CENTRO;São Paulo;São Paulo
2011;2011/06;66.941.980/0001-35;BUFFET BOULEVARD LTDA EPP;R ALTINOPOLIS,119;02334-000;AGUA FRIA;São Paulo;São Paulo
2009;2009/05;66.941.980/0001-35;BUFFET BOULEVARD LTDA EPP;R DOUTOR IGNáCIO PROENçA DE GOLVEIA N¿35;02534-010;PARQUE PERUCHE;São Paulo;São Paulo
2009;2009/05;66.941.980/0001-35;BUFFET BOULEVARD LTDA EPP;R DOUTOR IGNáCIO PROENçA DE GOLVEIA N¿35;02534-010;PARQUE PERUCHE;São Paulo;São Paulo
2008;2008/12;66.941.980/0005-69;BUFFET BOULEVARD LTDA EPP;RUA DOIS DE JULHO, 607;04215-000;Sem Informação;São Paulo;São Paulo
2009;2009/10;02.665.381/0001-53;BUFFET BRASIL PALACE E EVENTOS LTDA - ME;2 RODAS  2009;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2009;2009/06;02.665.381/0001-53;BUFFET BRASIL PALACE E EVENTOS LTDA ME;AUTOMEC 2009;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2008;2008/08;02.665.381/0001-53;BUFFET BRASIL PALACE E EVENTOS LTDA ME;FRANCAL - 40 ANOS;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2009;2009/10;02.665.381/0001-53;BUFFET BRASIL PALACE E EVENTOS LTDA ME;FRANCAL 2009;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2010;2010/12;07.135.384/0001-07;BUFFET CALEGARI LTDA. ME;ESTRADA CAMINHO DE SAO PEDRO, 365;07600-000;ROSEIRA;Mairiporã;São Paulo
2008;2008/06;00.385.297/0001-50;BUFFET CARIGE ARTFESTAS E PROD LTDA;RUA TONELERO,804;05056-001;VILA IPOJUCA;São Paulo;São Paulo
2008;2008/07;02.221.222/0001-60;BUFFET CATTEDRAL;AV. DR. RUDGE RAMOS, 385;09700-000;Sem Informação;São Bernardo do Campo;São Paulo
2009;2009/01;66.891.318/0001-18;BUFFET CAYMAN;AV PAES DE BARROS, 2473;03115-001;MOOCA;São Paulo;São Paulo
2008;2008/06;53.663.548/0001-88;BUFFET CICARELI LTDA ME;RUA SANTA CRUZ,838;04122-000;SAUDE;São Paulo;São Paulo
2009;2009/06;58.876.947/0014-65;BUFFET CLAUDIO E PAULO LTDA;RDR IGNACIO PROENCA DE GOUVEIA,35;02534-010;CASA VERDE;São Paulo;São Paulo
2010;2010/12;58.876.947/0014-65;BUFFET CLAUDIO E PAULO LTDA;RDR IGNACIO PROENCA DE GOUVEIA,35;02534-010;CASA VERDE;São Paulo;São Paulo
2011;2011/04;58.876.947/0014-65;BUFFET CLAUDIO E PAULO LTDA;RDR IGNACIO PROENCA DE GOUVEIA,35;02534-010;CASA VERDE;São Paulo;São Paulo
2010;2010/08;58.876.947/0015-46;BUFFET CLÁUDIO E PAULO LTDA.;RUA CANTAGALO, 1777;03319-001;TATUAPÉ;São Paulo;São Paulo
2008;2008/07;38.876.546/0001-83;BUFFET COLLOMBA LTDA ME;APAS - 2008;02012-020;PQ ANHEMBI;São Paulo;São Paulo
2010;2010/06;38.876.546/0001-83;BUFFET COLLOMBA LTDA ME;APAS 2010 - EXPO CENTER NORTE;02055-000;VL GUILHERME;São Paulo;São Paulo
2009;2009/08;38.876.546/0001-83;BUFFET COLLOMBA LTDA ME;FIPAN 2009;02055-000;V GUILHERME;São Paulo;São Paulo
2010;2010/06;38.876.546/0001-83;BUFFET COLLOMBA LTDA ME;RUA BELA NAPOLES,37-S.PAULO;05085-080;LEOPOLDINA;São Paulo;São Paulo
